Feature1,Feature2,Target
48,72,48
100,84,60
64,42,0
24,57,16
73,71,32
99,28,27
17,54,1
48,37,30
46,0,7
23,12,79
70,77,2
99,4,100
88,72,12
36,54,11
19,15,64
25,89,29
2,42,50
40,41,59
88,41,94
26,96,36
35,56,46
100,28,55
94,24,69
4,62,15
83,31,9
33,80,70
91,13,72
2,5,24
57,46,2
96,42,81
41,61,52
23,36,27
29,79,78
42,30,92
14,33,56
21,93,83
57,95,88
7,5,79
35,85,87
67,37,96
85,94,60
17,5,42
91,83,21
68,14,25
3,33,53
97,41,53
49,86,83
98,59,54
87,11,53
86,25,57
48,40,44
25,64,36
5,65,42
5,55,78
1,23,84
2,97,33
20,24,24
1,91,64
57,60,13
9,61,48
39,13,10
4,33,27
32,65,17
48,94,54
99,31,97
72,26,41
28,9,35
75,56,19
83,27,78
8,36,60
34,9,70
92,4,26
15,34,93
100,77,4
91,13,85
68,27,19
91,96,40
1,100,10
81,98,91
23,53,37
17,89,72
68,30,22
54,42,89
39,51,10
20,95,18
99,80,91
56,58,84
99,26,35
41,29,41
17,51,85
90,99,88
12,83,53
52,74,58
53,80,29
82,72,58
31,16,84
79,61,20
59,12,69
28,94,46
80,62,73
